CPM,Time
23,1630737417.769655
3,1630737477.8299336
4,1630737537.8902209
4,1630737597.9504855
3,1630737658.0107741
1,1630737718.0710275
4,1630737778.1246643
3,1630737838.1846666
1,1630737898.2447352
1,1630737958.3049579
