Temperature,Humidity,Pressure,PM1,PM2.5,PM10,Time
28.38,28.81,1002.75,7168,1280,1792,1630720520.7420487
28.38,28.82,1002.75,7168,1280,1792,1630720521.8741403
28.38,28.56,1002.77,7168,1280,1792,1630720523.0091233
28.37,28.44,1002.77,7168,1280,1792,1630720524.1412635
28.35,28.36,1002.76,7168,1280,1792,1630720525.2738743
28.37,28.66,1002.77,7168,1280,1792,1630720526.4059064
28.35,28.67,1002.79,7168,1280,1792,1630720527.5384521
28.37,28.53,1002.78,7168,1280,1792,1630720528.6738226
28.39,28.57,1002.76,7168,1280,1792,1630720529.8056016
28.41,28.47,1002.79,7168,1280,1792,1630720530.9378667
28.5,29.75,1002.87,7168,1280,1792,1630720532.0701396
28.59,31.76,1002.91,7168,1280,1792,1630720533.2025583
28.76,32.62,1002.93,7168,1280,1792,1630720534.3333447
28.95,33.03,1002.89,7168,1280,1792,1630720535.4634023
29.16,32.23,1002.91,7168,1280,1792,1630720536.5987356
29.37,33.8,1002.88,7168,1280,1792,1630720537.733964
29.51,31.84,1002.92,7168,1280,1792,1630720538.866993
29.53,32.16,1002.9,7168,1280,1792,1630720540.0023246
29.58,31.62,1002.88,7168,1280,1792,1630720541.137767
29.62,31.04,1002.92,7168,1280,1792,1630720542.27309
29.66,30.49,1002.9,7168,1280,1792,1630720543.4084196
29.7,30.43,1002.9,7168,1280,1792,1630720544.541166
29.73,30.48,1002.89,7168,1280,1792,1630720545.6705964
29.76,30.15,1002.86,7168,1280,1792,1630720546.8000987
29.8,30.76,1002.89,7168,1280,1792,1630720547.9323459
29.83,30.6,1002.87,7168,1280,1792,1630720549.0646925
29.85,29.19,1002.83,7168,1280,1792,1630720550.2001197
29.86,28.0,1002.8,7168,1280,1792,1630720551.3324635
29.85,27.5,1002.79,7168,1280,1792,1630720552.465312
29.84,26.99,1002.78,7168,1280,1792,1630720553.6007981
29.82,27.06,1002.77,7168,1280,1792,1630720554.7361374
29.79,27.04,1002.78,7168,1280,1792,1630720555.8715084
29.75,26.81,1002.8,7168,1280,1792,1630720557.0069363
29.73,26.71,1002.78,7168,1280,1792,1630720558.1422074
29.69,26.61,1002.83,7168,1280,1792,1630720559.2744644
29.65,26.62,1002.88,7168,1280,1792,1630720560.4070034
29.6,26.93,1002.87,7168,1280,1792,1630720561.5402155
29.57,26.97,1002.87,7168,1280,1792,1630720562.6755092
29.56,26.68,1002.92,7168,1280,1792,1630720563.8048675
29.55,26.67,1002.88,7168,1280,1792,1630720564.9371397
29.52,26.77,1002.9,7168,1280,1792,1630720566.0692773
29.5,26.46,1002.88,7168,1280,1792,1630720567.2015967
29.49,26.94,1002.89,7168,1280,1792,1630720568.3370154
29.46,27.03,1002.88,7168,1280,1792,1630720569.4670796
29.43,26.74,1002.88,7168,1280,1792,1630720570.602122
29.42,26.73,1002.87,7168,1280,1792,1630720571.7370782
29.4,26.76,1002.85,7168,1280,1792,1630720572.8696096
29.4,27.13,1002.89,7168,1280,1792,1630720574.0031252
29.37,27.04,1002.87,7168,1280,1792,1630720575.1354666
29.35,26.82,1002.86,7168,1280,1792,1630720576.2677746
29.33,27.01,1002.86,7168,1280,1792,1630720577.400064
29.3,27.23,1002.86,7168,1280,1792,1630720578.5298505
29.27,27.64,1002.93,7168,1280,1792,1630720579.6621985
29.24,28.04,1002.88,7168,1280,1792,1630720580.7918804
29.21,27.9,1002.86,7168,1280,1792,1630720581.9271884
29.19,27.91,1002.9,7168,1280,1792,1630720583.062487
29.17,27.54,1002.89,7168,1280,1792,1630720584.1977832
29.15,27.55,1002.87,7168,1280,1792,1630720585.3305485
29.16,27.55,1002.86,7168,1280,1792,1630720586.459964
29.15,27.48,1002.86,7168,1280,1792,1630720587.5954528
29.15,27.51,1002.89,7168,1280,1792,1630720588.727798
29.14,27.55,1002.86,7168,1280,1792,1630720589.8547125
29.12,27.72,1002.87,7168,1280,1792,1630720590.9870408
29.08,28.22,1002.87,7168,1280,1792,1630720592.117483
29.04,28.41,1002.88,7168,1280,1792,1630720593.252438
29.01,28.38,1002.9,7168,1280,1792,1630720594.384873
29.0,28.34,1002.89,7168,1280,1792,1630720595.5203028
28.98,27.98,1002.93,7168,1280,1792,1630720596.6553009
28.97,28.14,1002.93,7168,1280,1792,1630720597.7905095
28.94,28.35,1002.92,7168,1280,1792,1630720598.9235878
28.9,28.06,1002.88,7168,1280,1792,1630720600.0559192
28.89,28.3,1002.91,7168,1280,1792,1630720601.19098
28.86,28.29,1002.94,7168,1280,1792,1630720602.3231118
28.85,28.5,1002.92,7168,1280,1792,1630720603.4554422
28.83,28.46,1002.89,7168,1280,1792,1630720604.587595
28.84,28.51,1002.88,7168,1280,1792,1630720605.722605
28.8,28.66,1002.9,7168,1280,1792,1630720606.8554134
28.81,28.46,1002.9,7168,1280,1792,1630720607.9905267
28.8,28.47,1002.91,7168,1280,1792,1630720609.125532
28.8,28.79,1002.93,7168,1280,1792,1630720610.2606943
28.79,28.96,1002.92,7168,1280,1792,1630720611.3933184
28.77,29.07,1002.9,7168,1280,1792,1630720612.5259264
28.77,29.08,1002.9,7168,1280,1792,1630720613.6612434
28.76,28.77,1002.9,7168,1280,1792,1630720614.7910092
28.75,28.55,1002.92,7168,1280,1792,1630720615.923437
28.73,28.6,1002.9,7168,1280,1792,1630720617.058741
28.72,28.63,1002.86,7168,1280,1792,1630720618.1909652
28.73,28.82,1002.88,7168,1280,1792,1630720619.3262603
28.72,28.89,1002.9,7168,1280,1792,1630720620.4558086
28.73,28.91,1002.86,7168,1280,1792,1630720621.5911274
28.71,29.34,1002.87,7168,1280,1792,1630720622.7232876
28.69,29.48,1002.89,7168,1280,1792,1630720623.8525188
28.68,29.12,1002.87,7168,1280,1792,1630720624.9849107
28.68,29.35,1002.91,7168,1280,1792,1630720626.1171596
28.67,29.38,1002.84,7168,1280,1792,1630720627.2523649
28.65,29.61,1002.91,7168,1280,1792,1630720628.3846135
28.62,29.67,1002.89,7168,1280,1792,1630720629.5201423
28.59,29.78,1002.87,7168,1280,1792,1630720630.6524193
28.59,29.79,1002.86,7168,1280,1792,1630720631.7846909
28.59,29.63,1002.89,7168,1280,1792,1630720632.9170392
28.57,29.56,1002.89,7168,1280,1792,1630720634.0468554
28.56,29.5,1002.89,7168,1280,1792,1630720635.1761684
28.55,29.33,1002.88,7168,1280,1792,1630720636.308829
28.53,29.87,1002.86,7168,1280,1792,1630720637.442049
28.53,29.2,1002.9,7168,1280,1792,1630720638.574068
28.52,29.29,1002.88,7168,1280,1792,1630720639.7091131
28.51,29.49,1002.87,7168,1280,1792,1630720640.842696
28.5,29.96,1002.88,7168,1280,1792,1630720641.9777803
28.5,30.52,1002.86,7168,1280,1792,1630720643.1128142
28.47,30.68,1002.87,7168,1280,1792,1630720644.2453866
28.45,30.84,1002.87,7168,1280,1792,1630720645.3783958
28.44,31.09,1002.88,7168,1280,1792,1630720646.5091462
28.41,30.94,1002.87,7168,1280,1792,1630720647.6446488
28.42,30.93,1002.85,7168,1280,1792,1630720648.7739806
28.4,30.63,1002.88,7168,1280,1792,1630720649.9015658
28.39,31.01,1002.84,7168,1280,1792,1630720651.0339339
28.37,31.25,1002.83,7168,1280,1792,1630720652.1660123
28.35,30.98,1002.83,7168,1280,1792,1630720653.298375
28.32,31.18,1002.85,7168,1280,1792,1630720654.432178
28.31,31.82,1002.84,7168,1280,1792,1630720655.5645225
28.31,31.45,1002.87,7168,1280,1792,1630720656.699627
28.29,31.38,1002.86,7168,1280,1792,1630720657.8320343
28.27,31.12,1002.83,7168,1280,1792,1630720658.9629009
28.26,30.93,1002.84,7168,1280,1792,1630720660.0953157
28.23,30.52,1002.86,7168,1280,1792,1630720661.2277637
28.22,30.59,1002.86,7168,1280,1792,1630720662.360084
28.21,30.68,1002.83,7168,1280,1792,1630720663.4905903
28.21,30.54,1002.81,7168,1280,1792,1630720664.622883
28.2,30.11,1002.85,7168,1280,1792,1630720665.7551548
28.19,30.3,1002.84,7168,1280,1792,1630720666.8847353
28.2,30.35,1002.87,7168,1280,1792,1630720668.0139537
28.2,30.29,1002.84,7168,1280,1792,1630720669.1408978
28.19,30.36,1002.84,7168,1280,1792,1630720670.2731893
28.16,30.25,1002.9,7168,1280,1792,1630720671.4028583
28.14,29.98,1002.86,7168,1280,1792,1630720672.5354965
28.15,29.78,1002.85,7168,1280,1792,1630720673.6708522
28.15,29.79,1002.85,7168,1280,1792,1630720674.8032188
28.14,29.77,1002.84,7168,1280,1792,1630720675.9355013
28.14,29.65,1002.82,7168,1280,1792,1630720677.0708892
28.14,29.62,1002.83,7168,1280,1792,1630720678.2031343
28.15,29.81,1002.82,7168,1280,1792,1630720679.3354542
28.15,29.75,1002.85,7168,1280,1792,1630720680.4658172
28.17,29.52,1002.87,7168,1280,1792,1630720681.5983403
28.17,29.77,1002.84,7168,1280,1792,1630720682.7247782
28.18,29.72,1002.85,7168,1280,1792,1630720683.8541036
28.16,30.23,1002.83,7168,1280,1792,1630720684.986466
28.17,29.86,1002.84,7168,1280,1792,1630720686.118711
28.17,30.03,1002.82,7168,1280,1792,1630720687.2539954
28.17,29.72,1002.83,7168,1280,1792,1630720688.38637
28.17,29.63,1002.85,7168,1280,1792,1630720689.5193393
28.19,29.46,1002.82,7168,1280,1792,1630720690.6516943
28.2,29.54,1002.85,7168,1280,1792,1630720691.783995
28.2,29.41,1002.86,7168,1280,1792,1630720692.913396
28.22,29.44,1002.86,7168,1280,1792,1630720694.048764
28.23,29.48,1002.85,7168,1280,1792,1630720695.1779997
28.24,29.53,1002.84,7168,1280,1792,1630720696.3102574
28.25,29.76,1002.83,7168,1280,1792,1630720697.4432333
28.26,29.84,1002.83,7168,1280,1792,1630720698.5755816
28.27,29.71,1002.81,7168,1280,1792,1630720699.710877
28.27,29.53,1002.82,7168,1280,1792,1630720700.843209
28.29,29.65,1002.81,7168,1280,1792,1630720701.973445
28.29,29.35,1002.83,7168,1280,1792,1630720703.1087632
28.3,29.59,1002.84,7168,1280,1792,1630720704.2381794
28.32,29.45,1002.84,7168,1280,1792,1630720705.3678496
28.32,29.66,1002.84,7168,1280,1792,1630720706.5005798
28.33,29.58,1002.84,7168,1280,1792,1630720707.6329439
28.35,29.51,1002.85,7168,1280,1792,1630720708.762416
28.36,29.63,1002.8,7168,1280,1792,1630720709.8920999
28.37,29.49,1002.84,7168,1280,1792,1630720711.0244608
28.39,29.66,1002.84,7168,1280,1792,1630720712.1568575
28.39,29.73,1002.85,7168,1280,1792,1630720713.292094
28.4,29.8,1002.84,7168,1280,1792,1630720714.421802
28.4,29.66,1002.87,7168,1280,1792,1630720715.5570412
28.4,29.83,1002.85,7168,1280,1792,1630720716.6882594
28.41,29.82,1002.88,7168,1280,1792,1630720717.8205953
28.4,29.69,1002.86,7168,1280,1792,1630720718.9505866
28.41,29.52,1002.88,7168,1280,1792,1630720720.0829737
28.41,29.66,1002.88,7168,1280,1792,1630720721.2123504
28.43,29.5,1002.88,7168,1280,1792,1630720722.3446412
28.42,29.59,1002.86,7168,1280,1792,1630720723.4757762
28.44,29.44,1002.85,7168,1280,1792,1630720724.6111598
28.44,29.54,1002.88,7168,1280,1792,1630720725.7464538
28.43,29.58,1002.88,7168,1280,1792,1630720726.8779018
28.44,29.46,1002.9,7168,1280,1792,1630720728.0109882
28.43,29.73,1002.87,7168,1280,1792,1630720729.1404064
28.4,30.56,1002.85,7168,1280,1792,1630720730.272829
28.4,30.66,1002.89,7168,1280,1792,1630720731.4029057
28.4,30.22,1002.87,7168,1280,1792,1630720732.5333178
28.4,30.11,1002.85,7168,1280,1792,1630720733.6655903
28.4,29.72,1002.84,7168,1280,1792,1630720734.7978785
28.41,29.55,1002.86,7168,1280,1792,1630720735.930287
28.42,29.58,1002.86,7168,1280,1792,1630720737.0655692
28.42,29.89,1002.87,7168,1280,1792,1630720738.1978834
28.4,29.81,1002.88,7168,1280,1792,1630720739.3331845
28.39,29.99,1002.86,7168,1280,1792,1630720740.4637704
28.41,30.0,1002.88,7168,1280,1792,1630720741.596225
28.41,29.75,1002.89,7168,1280,1792,1630720742.7249515
28.37,29.49,1002.86,7168,1280,1792,1630720743.8602371
28.34,29.54,1002.85,7168,1280,1792,1630720744.9927204
28.33,29.47,1002.82,7168,1280,1792,1630720746.1282983
28.34,29.49,1002.85,7168,1280,1792,1630720747.2607014
28.3,29.5,1002.87,7168,1280,1792,1630720748.3930154
28.29,29.59,1002.86,7168,1280,1792,1630720749.5227313
28.29,29.4,1002.83,7168,1280,1792,1630720750.6550796
28.28,29.33,1002.87,7168,1280,1792,1630720751.787505
28.27,29.27,1002.86,7168,1280,1792,1630720752.919749
28.26,29.57,1002.86,7168,1280,1792,1630720754.0492635
28.26,29.52,1002.85,7168,1280,1792,1630720755.181603
28.25,29.66,1002.84,7168,1280,1792,1630720756.3139768
28.24,29.76,1002.86,7168,1280,1792,1630720757.4434998
28.22,29.8,1002.83,7168,1280,1792,1630720758.5728388
28.23,29.7,1002.84,7168,1280,1792,1630720759.7021842
28.21,29.73,1002.82,7168,1280,1792,1630720760.8284662
28.2,30.55,1002.82,7168,1280,1792,1630720761.9609504
28.19,30.35,1002.8,7168,1280,1792,1630720763.093246
28.18,30.04,1002.82,7168,1280,1792,1630720764.222607
28.18,29.8,1002.81,7168,1280,1792,1630720765.3549738
28.18,29.97,1002.85,7168,1280,1792,1630720766.482492
28.16,30.22,1002.85,7168,1280,1792,1630720767.6118002
28.15,30.62,1002.86,7168,1280,1792,1630720768.7473104
28.15,30.22,1002.82,7168,1280,1792,1630720769.8796515
28.14,30.3,1002.85,7168,1280,1792,1630720771.0091257
28.14,30.36,1002.83,7168,1280,1792,1630720772.1414332
28.15,30.65,1002.83,7168,1280,1792,1630720773.270701
