CPM,Time
3,1630736052.7293413
3,1630736112.7896125
0,1630736172.8498518
3,1630736232.9100916
1,1630736292.970329
4,1630736353.0305803
1,1630736413.0908196
1,1630736473.151076
2,1630736533.2113252
3,1630736593.2715652
